rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
36,18,8,27,20,39,9,47,16,30,13,44,8,6,7,20,5,7,10,370,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,wisconsin,40
16,9,14,6,22,68,8,34,10,12,10,18,6,12,7,13,4,4,4,277,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Virginia,26
39,44,22,49,29,108,19,71,32,44,18,101,46,9,26,43,18,18,13,749,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,17,Female,No,MO USA,54
18,14,44,38,25,60,12,32,9,22,9,23,13,7,12,15,8,10,6,377,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,15,Female,Yes,Maryland,32
23,68,19,10,25,117,43,47,17,108,19,43,13,4,6,28,10,16,6,622,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Male,Yes,California,36
30,38,15,13,44,33,13,47,17,34,17,90,24,6,14,24,7,19,7,492,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17,Male,Yes,"Utah, United States of America",39
25,72,15,24,21,70,15,52,27,26,18,56,10,8,18,34,10,19,10,530,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Female,Yes,Mississippi,26
34,22,15,13,19,58,23,36,18,32,20,49,39,5,9,46,7,33,20,498,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Virginia,29
16,12,8,7,10,27,9,37,17,15,8,28,9,4,6,13,5,6,4,241,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,"denver, colorado",35
23,35,12,13,16,59,19,49,16,34,16,45,16,7,9,18,8,12,8,415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,Utah,33
20,11,8,12,12,25,16,39,10,27,9,37,15,4,8,10,8,8,7,286,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,16,Female,Yes,"Indiana, USA",33
22,19,18,15,23,64,12,68,29,44,14,46,21,7,15,43,9,14,8,491,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,No,North Carolina,62
